No.,Time,Source,Destination,Protocol,Length,Info,source_file,predicted_label
1991,10.606329,3.229.99.131,192.168.1.192,TCP,60,443  >  57688 [ACK] Seq=32 Ack=71 Win=164 Len=0,test_loic.csv,botnet_slowloic
1992,10.794301,192.168.1.192,20.50.73.13,TLSv1.2,139,Application Data,test_loic.csv,normal
1993,10.794358,192.168.1.192,20.50.73.13,TLSv1.2,856,Application Data,test_loic.csv,normal
1994,10.8021,185.188.41.131,192.168.1.192,TLSv1.2,117,"Application Data, Application Data",test_loic.csv,normal
1995,10.802283,192.168.1.192,185.188.41.131,TCP,54,"51191  >  64532 [FIN, ACK] Seq=1 Ack=64 Win=1021 Len=0",test_loic.csv,normal
1996,10.844547,185.188.41.131,192.168.1.192,TCP,60,"64532  >  51191 [FIN, ACK] Seq=64 Ack=1 Win=68 Len=0",test_loic.csv,normal
1997,10.844632,192.168.1.192,185.188.41.131,TCP,54,51191  >  64532 [ACK] Seq=2 Ack=65 Win=1021 Len=0,test_loic.csv,normal
1998,10.846767,185.188.41.131,192.168.1.192,TCP,60,64532  >  51191 [ACK] Seq=65 Ack=2 Win=68 Len=0,test_loic.csv,normal
1999,10.879404,45.139.54.226,192.168.1.188,TCP,60,62557  >  35986 [RST] Seq=1 Win=0 Len=0,test_loic.csv,botnet_slowloic
2000,10.885209,20.50.73.13,192.168.1.192,TCP,60,443  >  50564 [ACK] Seq=140 Ack=1847 Win=16386 Len=0,test_loic.csv,botnet_tcp
2001,10.893374,20.50.73.13,192.168.1.192,TLSv1.2,149,Application Data,test_loic.csv,normal
2002,10.934302,192.168.1.192,20.50.73.13,TCP,54,50564  >  443 [ACK] Seq=1847 Ack=235 Win=1025 Len=0,test_loic.csv,normal
2003,10.940408,192.168.1.192,149.154.167.41,SSL,239,Continuation Data,test_loic.csv,botnet_slowloic
2004,11.014967,149.154.167.41,192.168.1.192,TCP,60,443  >  57723 [ACK] Seq=1 Ack=186 Win=32768 Len=0,test_loic.csv,botnet_slowloic
2005,11.016027,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2006,11.016066,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2007,11.016066,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2008,11.016066,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2009,11.016105,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2010,11.016141,192.168.1.192,149.154.167.41,TCP,54,57723  >  443 [ACK] Seq=186 Ack=4961 Win=1026 Len=0,test_loic.csv,normal
2011,11.016559,149.154.167.41,192.168.1.192,SSL,1294,Continuation Data,test_loic.csv,botnet_slowloic
2012,11.016559,149.154.167.41,192.168.1.192,SSL,772,Continuation Data,test_loic.csv,botnet_slowloic
2013,11.016573,192.168.1.192,149.154.167.41,SSL,223,Continuation Data,test_loic.csv,botnet_slowloic
2014,11.016602,192.168.1.192,149.154.167.41,TCP,54,57723  >  443 [ACK] Seq=355 Ack=8159 Win=1026 Len=0,test_loic.csv,normal
2015,11.134423,149.154.167.41,192.168.1.192,TCP,60,443  >  57723 [ACK] Seq=8159 Ack=355 Win=32768 Len=0,test_loic.csv,botnet_slowloic
2016,11.490517,185.188.41.131,192.168.1.192,TLSv1.2,117,"Application Data, Application Data",test_loic.csv,normal
2017,11.490726,192.168.1.192,185.188.41.131,TCP,54,"51199  >  64532 [FIN, ACK] Seq=213 Ack=799 Win=1021 Len=0",test_loic.csv,normal
2018,11.532957,185.188.41.131,192.168.1.192,TCP,60,"64532  >  51199 [FIN, ACK] Seq=799 Ack=213 Win=68 Len=0",test_loic.csv,normal
2019,11.533057,192.168.1.192,185.188.41.131,TCP,54,51199  >  64532 [ACK] Seq=214 Ack=800 Win=1021 Len=0,test_loic.csv,normal
2020,11.535835,185.188.41.131,192.168.1.192,TCP,60,64532  >  51199 [ACK] Seq=800 Ack=214 Win=68 Len=0,test_loic.csv,normal
2021,11.670544,192.168.1.192,5.255.255.77,TLSv1.2,159,Application Data,test_loic.csv,normal
2022,11.670578,192.168.1.192,5.255.255.77,TLSv1.2,613,Application Data,test_loic.csv,normal
2023,11.704848,5.255.255.77,192.168.1.192,TCP,60,443  >  59123 [ACK] Seq=486 Ack=1469 Win=2371 Len=0,test_loic.csv,botnet_slowloic
2024,11.704848,5.255.255.77,192.168.1.192,TCP,60,443  >  59123 [ACK] Seq=486 Ack=2028 Win=2369 Len=0,test_loic.csv,normal
2025,11.705145,5.255.255.77,192.168.1.192,TLSv1.2,89,Application Data,test_loic.csv,normal
2026,11.715841,5.255.255.77,192.168.1.192,TLSv1.2,429,Application Data,test_loic.csv,normal
2027,11.715945,192.168.1.192,5.255.255.77,TCP,54,59123  >  443 [ACK] Seq=2028 Ack=896 Win=1020 Len=0,test_loic.csv,normal
2028,11.978714,DLinkInterna_da:77:72,Broadcast,ARP,60,Who has 192.168.1.188? Tell 192.168.1.1,test_loic.csv,botnet_slowloic
